"ID_REF"	"GSM3581926"	"GSM3581927"	"GSM3581928"	"GSM3581929"	"GSM3581930"	"GSM3581931"	"GSM3581932"	"GSM3581933"	"GSM3581934"	"GSM3581935"	"GSM3581936"	"GSM3581937"
"ASHGV40054906"	7.626531	9.132311	8.581836	8.430627	8.471238	8.412816	8.640514	8.343764	7.64008	8.356477	8.616172	8.051602
"ASHGV40054907"	10.7718	10.28463	11.604455	11.907522	11.993027	9.5600605	10.809366	11.571392	9.831684	11.700633	12.202749	11.6707325
"ASHGV40054909"	5.295274	6.1461344	5.0158925	4.8325725	5.0806537	4.839678	4.929292	5.7487545	4.8794866	4.8965793	5.099914	5.0447583
"ASHGV40054911"	4.2357063	8.133912	4.393363	4.307366	7.896297	2.5497591	4.890962	5.6754584	3.275542	4.1608334	6.9486856	3.2604222
"ASHGV40054913"	11.902081	12.147952	11.554829	11.251099	11.294367	11.868581	11.747272	11.111829	11.621758	11.343321	10.994988	11.12505
"ASHGV40054915"	12.890428	12.883605	13.330017	12.271246	12.476848	13.414097	12.858425	12.552982	13.570453	12.579715	12.595713	12.815258
"ASHGV40054917"	10.569501	10.586374	10.859599	9.8740015	10.052082	11.31315	10.456847	9.976774	11.418197	10.176072	9.911412	10.692013
"ASHGV40054918"	14.502475	14.21935	14.238948	14.155062	13.9756	14.428629	14.532344	14.109523	14.093025	14.55467	14.36738	13.828024
"ASHGV40054921"	2.3945029	3.7641802	3.2441206	3.9359858	3.951998	5.640588	4.0814853	2.460818	3.504388	4.556349	4.0472507	4.927865
"ASHGV40054925"	9.40414	9.433832	8.9596	8.155517	8.382689	7.2620068	8.976927	8.978627	8.356945	9.195457	8.528674	8.357946
"ASHGV40054926"	9.961749	9.895599	9.601302	9.367435	9.3439455	10.407469	10.180421	9.360572	10.115666	9.520717	9.203862	9.392743
"ASHGV40054927"	13.526718	12.990172	13.292853	14.291758	12.932046	13.394586	14.405719	13.739207	14.012775	13.38034	12.832849	13.008261
"ASHGV40054933"	8.892743	7.909455	7.617589	7.781805	7.389946	7.537545	8.186775	7.30622	6.9964733	7.347003	7.1027517	6.968178
"ASHGV40054934"	5.3980336	5.479163	5.6386967	5.4638977	5.3421226	4.7735577	5.310224	5.2779036	5.111561	5.011753	5.221326	4.621913
"ASHGV40054937"	5.48971	5.438332	5.454244	5.1486635	4.9466896	5.625143	5.574626	5.6618133	4.7426395	5.502931	4.6406546	5.1956725
